;Database ID;Rekkefølge;V1: Hovedtype bruker;V2: Alder osv;REE;Ekstra energiforbruk;V3a/b: Arbeid/hovedaktivitet;V4: Fritid ;PAL arbeid;PAL fra fritid;PAL (sum);MJ/dag;kJ;kcal;KH (E %) (min);KH (E %) (max);Tilsatt sukker (E %) (max);Kostfiber (g) ;Kostfiber (g) ;Fett ( E %) ;Fett (E %);Mettet fett (E %) ; Transfett (E %);Enumettet fett ( E %) (min);Enumettet fett (E %)(max);Flerumettet fett (E %) (min);Flerumettet fett (E %)(max);Omega-3 (E %);Omega-6 (E %);Protein (E %) (min);Protein (E %) (max);Alkhol (g);Salt (g);Vitamin A;Vitamin D;Vitamin E;Tiamin;Riboflavin;Niacin;Niacinekvivalenter;Vitamin B6;Folat;Vitamin B12;Vitamin C;Kalsium;Jern;Kalium;Fosfor;Natrium (max);Magnesium;Sink;Kobber;Selen;Jod
;;;nutrient ID (matvaretabellen);;;;;;;;;;Energi1;Energi2;Karbo;Karbo;Sukker;Fiber;Fiber;Fett;Fett;Mettet;Trans;Enumet;Enumet;Flerum;Flerum;Omega-3;Omega-6;Protein;Protein;Alko;NaCl;Vit A;Vit D;Vit E;Vit B1;Vit B2;Niacin;;Vit B6;Folat;Vit B12;Vit C;Ca;Fe;K;P;Na;Mg;Zn;Cu;Se;I
;;;Grenser;;;;;;;;;;gjsn;gjsn;min;max;gjsn;min;max;min;max;gjsn;gjsn;min;max;min;max;gjsn;gjsn;min;max;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn
Eksempelmeny;130;19;Gutt;6-9 år;4,535;;Gjennomsnittlig aktivitetsnivå;;;;1,57;7,12;7119,95;1701,66805;45;60;<10;14;21;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;400;10;6;0,9;1,1;;;1;130;1,3;40;700;9;2000;540;<1400;200;7;0,5;30;120
;131;20;Gutt;6-9 år;4,535;;Høyt aktivitetsnivå;;;;1,69;7,66;7664,15;1831,73185;45;60;<10;15;23;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;400;10;6;0,9;1,1;;;1;130;1,3;40;700;9;2000;540;<1400;200;7;0,5;30;120
Ingen eksempelmeny;132;6;Jente;6-9 år;4,22;;Lavt aktivitetsnivå;;;;1,42;5,99;5992,4;1432,1836;45;60;<10;12;18;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;400;10;6;0,9;1,1;;;1;130;1,3;40;700;9;2000;540;<1400;200;7;0,5;30;120
;133;7;Jente;6-9 år;4,22;;Gjennomsnittlig aktivitetsnivå;;;;1,57;6,63;6625,4;1583,4706;45;60;<10;13;20;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;400;10;6;0,9;1,1;;;1;130;1,3;40;700;9;2000;540;<1400;200;7;0,5;30;120
;134;8;Jente;6-9 år;4,22;;Høyt aktivitetsnivå;;;;1,69;7,13;7131,8;1704,5002;45;60;<10;14;21;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;400;10;6;0,9;1,1;;;1;130;1,3;40;700;9;2000;540;<1400;200;7;0,5;30;120
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;135;21;Gutt;10-13 år;5,3825;;Lavt aktivitetsnivå;;;;1,66;8,93;8934,95;2135,45305;45;60;<10;18;27;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;600;10;8;1,1;1,3;;;1,3;200;2;50;900;11;3300;700;<2300;280;11;0,7;40;150
;136;22;Gutt;10-13 år;5,3825;;Gjennomsnittlig aktivitetsnivå;;;;1,73;9,31;9311,725;2225,502275;45;60;<10;19;28;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;600;10;8;1,1;1,3;;;1,3;200;2;50;900;11;3300;700;<2300;280;11;0,7;40;150
;137;23;Gutt;10-13 år;5,3825;;Høyt aktivitetsnivå;;;;1,85;9,96;9957,625;2379,872375;45;60;<10;20;30;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;600;10;8;1,1;1,3;;;1,3;200;2;50;900;11;3300;700;<2300;280;11;0,7;40;150
;138;9;Jente;10-13 år;4,9975;;Lavt aktivitetsnivå;;;;1,66;8,30;8295,85;1982,70815;45;60;<10;17;25;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;600;10;7;1;1,2;;;1,1;200;2;50;900;11;3100;700;<2300;280;8;0,7;40;150
;139;10;Jente;10-13 år;4,9975;;Gjennomsnittlig aktivitetsnivå;;;;1,73;8,65;8645,675;2066,316325;45;60;<10;17;26;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;600;10;7;1;1,2;;;1,1;200;2;50;900;11;3100;700;<2300;280;8;0,7;40;150
;140;11;Jente;10-13 år;4,9975;;Høyt aktivitetsnivå;;;;1,85;9,25;9245,375;2209,644625;45;60;<10;18;28;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;600;10;7;1;1,2;;;1,1;200;2;50;900;11;3100;700;<2300;280;8;0,7;40;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;141;24;Gutt;14-17 år;6,81;;Lavt aktivitetsnivå;;;;1,66;11,30;11304,6;2701,7994;45;60;<10;23;34;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;900;10;10;1,4;1,7;;;1,6;300;2;75;900;11;3300;700;<2300;350;12;0,9;60;150
;142;25;Gutt;14-17 år;6,81;;Gjennomsnittlig aktivitetsnivå;;;;1,73;11,78;11781,3;2815,7307;45;60;<10;24;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;900;10;10;1,4;1,7;;;1,6;300;2;75;900;11;3300;700;<2300;350;12;0,9;60;150
;143;26;Gutt;14-17 år;6,81;;Høyt aktivitetsnivå;;;;1,85;12,60;12598,5;3011,0415;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;900;10;10;1,4;1,7;;;1,6;300;2;75;900;11;3300;700;<2300;350;12;0,9;60;150
;144;12;Jente;14-17 år;5,665;;Lavt aktivitetsnivå;;;;1,66;9,40;9403,9;2247,5321;45;60;<10;19;28;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;700;10;7;1,2;1,4;;;1,3;300;2;75;900;15;3100;700;<2300;280;9;0,9;50;150
;145;13;Jente;14-17 år;5,665;;Gjennomsnittlig aktivitetsnivå;;;;1,73;9,80;9800,45;2342,30755;45;60;<10;20;29;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;700;10;7;1,2;1,4;;;1,3;300;2;75;900;15;3100;700;<2300;280;9;0,9;50;150
;146;14;Jente;14-17 år;5,665;;Høyt aktivitetsnivå;;;;1,85;10,48;10480,25;2504,77975;45;60;<10;21;31;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;700;10;7;1,2;1,4;;;1,3;300;2;75;900;15;3100;700;<2300;280;9;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;147;147;Sykehjem/hjemmetjeneste;Nøkkelrådskost;;;;;;;;8,5;8500;2031,5;50;60;<10;25;35;25;35;<10;<1;10;20;5;10;1;5;10;20;<10;<6;800;20;9;1,1;1,25;;;1,4;300;2;75;800;9;3300;600;<2300;315;8;0,9;55;150
;148;148;Sykehjem/hjemmetjeneste;Energi- og næringstett kost;;;;;;;;8,5;8500;2031,5;40;50;<10;25;35;35;40;<10;<1;10;20;5;10;1;5;15;20;<10;<6;800;20;9;1,1;1,25;;;1,4;300;2;75;800;9;3300;600;<2300;315;8;0,9;55;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;149;149;Generell;10 MJ;;;;;;;;10;10000;2390;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<15;<6;800;14;9;1,2;1,4;;;1,3;450;2;80;1000;16;3500;800;<2300;320;12;1;57;170
